artist,track,album,album_name,album_type,album_date,album_tracks,album_pic,indexOf,genres,year,alphaname
Aerosmith,Toys In The Attic,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,0.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Uncle Salty,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,26.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Adam's Apple,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,46.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Walk This Way,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,67.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Big Ten Inch Record,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,89.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Sweet Emotion,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,117.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,No More No More,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,139.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,Round And Round,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,163.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Aerosmith,You See Me Crying,Toys In The Attic,Toys In The Attic,Album,1975-04-08,Toys In The Attic (03:05)/Uncle Salty (04:09)/Adam's Apple (04:33)/Walk This Way (03:40)/Big Ten Inch Record (02:15)/Sweet Emotion (04:34)/No More No More (04:34)/Round And Round (05:03)/You See Me Crying (05:11),https://i.scdn.co/image/ab67616d00001e028cffbbb7fe8645a486a85ea9,187.0,Album Rock/Classic Rock/Hard Rock/Rock,1975,Aerosmith
Agitation Free,First Communication,2Nd,2Nd,Album,1974-02-04,"First Communication (08:10)/Dialogue & Random (01:51)/Laila, Pt. 1 (01:41)/Laila, Pt. 2 (06:46)/In the Silence of the Morning Sunrise (06:37)/A Quiet Walk (09:17)/Haunted Island (08:08)/Laila '74 (Live) - Bonustrack (07:41)",https://i.scdn.co/image/ab67616d00001e02009f66b3e9fa351b24f466f2,0.0,Krautrock,1974,Agitation Free
